ID,duration,age,gender,ethnicity,ethnicity_open,Winning1,Winning2,Winning3,Winning4_R,Winning5,Emotion1,Emotion2_R,Emotion3,Emotion4,Emotion5_R,Risk1,Risk2,Risk3,Risk4_R,Risk5_R,Violence1,Violence2_R,Violence3,Violence4,Violence5_R,Playboy1,Playboy2,Playboy3,Playboy4_R,Playboy5_R,Selfreliance1,Selfreliance2,Selfreliance3,Selfreliance4,Selfreliance5_R,Hetero1,Hetero2,Hetero3,Hetero4,Hetero5_R,WorkPrimacy1_R,WorkPrimacy2,WorkPrimacy3_R,WorkPrimacy4,WorkPrimacy5,PoW1,PoW2,PoW3,PoW4_R,PoW5,Q1_Neutral_1,Q1_Neutral_2,Q1_Neutral_3,Q1_Masculine_1,Q1_Masculine_2,Q1_Masculine_3,Q1_Non-masculine_1,Q1_Non-masculine_2,Q1_Non-masculine_3,Q2_Neutral_1,Q2_Neutral_2,Q2_Neutral_3,Q2_Masculine_1,Q2_Masculine_2,Q2_Masculine_3,Q2_Non-masculine_1,Q2_Non-masculine_2,Q2_Non-masculine_3,Q3_Neutral_1,Q3_Neutral_2,Q3_Neutral_3,Q3_Masculine_1,Q3_Masculine_2,Q3_Masculine_3,Q3_Non-masculine_1,Q3_Non-masculine_2,Q3_Non-masculine_3,Q4_Neutral_1,Q4_Neutral_2,Q4_Neutral_3,Q4;_Masculine_1,Q4;_Masculine_2,Q4;_Masculine_3,Q4_Non-masculine_1,Q4_Non-masculine_2,Q4_Non-masculine_3,Q5_Neutral_1,Q5_Neutral_2,Q5_Neutral_3,Q5_Masculine_1,Q5_Masculine_2,Q5_Masculine_3,Q5_Non-masculine_1,Q5_Non-masculine_2,Q5_Non-masculine_3,Q6_Neutral_1,Q6_Neutral_2,Q6_Neutral_3,Q6_Masculine_1,Q6_Masculine_2,Q6_Masculine_3,Q6_Non-masculine_1,Q6_Non-masculine_2,Q6_Non-masculine_3,Q7_Neutral_1,Q7_Neutral_2,Q7_Neutral_3,Q7_Masculine_1,Q7_Masculine_2,Q7_Masculine_3,Q7_Non-masculine_1,Q7_Non-masculine_2,Q7_Non-masculine_3,Q8_Neutral_1,Q8_Neutral_2,Q8_Neutral_3,Q8_Masculine_1,Q8_Masculine_2,Q8_Masculine_3,Q8_Non-masculine_1,Q8_Non-masculine_2,Q8_Non-masculine_3
11,579,27,Male,Hispanic/Latino,,1,1,1,4,1,1,4,3,1,4,3,3,1,2,4,3,4,2,1,4,1,1,1,3,3,2,2,4,4,4,1,1,1,1,4,1,3,1,4,4,4,1,1,1,1,,,,4,4,4,,,,,,,4,4,3,,,,,,,4,4,4,,,,,,,9,9,9,,,,,,,,,,5,5,5,6,6,6,,,,,,,5,5,5,,,,,,,,,,,,,5,3,4
12,546,45,Male,Specify other:,Mulatto,2,1,2,3,1,1,3,3,1,2,2,2,2,2,2,3,4,1,1,3,1,1,1,3,3,1,1,3,3,4,3,3,3,3,2,3,1,2,2,3,3,2,1,1,1,,,,,,,7,7,7,,,,5,5,4,,,,6,5,5,,,,,,,,,,7,8,8,,,,,,,5,5,5,,,,,,,3,5,3,,,,5,5,5,,,,,,,,,,,,,9,3,6
13,769,33,Female,Caucasian,,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,,,,5,5,5,,,,,,,,,,8,8,8,,,,,,,4,4,4,7,7,7,,,,,,,5,5,5,,,,,,,,,,,,,5,5,5,7,7,7,,,,,,,,,,2,2,2,,,
14,523,53,Male,Black/African,,2,2,3,,2,2,3,4,2,3,3,3,1,2,3,3,2,2,2,3,1,1,1,4,4,2,2,2,4,4,3,2,2,2,2,3,3,3,3,4,2,2,2,2,2,,,,8,9,8,,,,6,8,9,,,,,,,,,,,,,5,6,7,,,,,,,5,4,7,6,7,7,,,,,,,,,,6,7,4,,,,,,,,,,5,7,4,,,,5,5,4,,,
15,469,32,Male,Caucasian,,2,2,3,4,2,2,2,3,2,2,2,3,2,3,3,3,2,3,2,2,2,1,1,3,3,2,2,3,4,3,2,2,2,2,3,2,2,2,2,3,1,2,2,2,2,,,,,,,3,5,4,8,5,5,,,,,,,5,5,5,,,,,,,,,,,,,5,4,2,,,,5,5,5,,,,,,,,,,4,4,4,5,6,5,,,,,,,,,,,,,5,4,3
16,428,51,Female,Caucasian,,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,3,3,1,1,1,1,3,2,3,4,3,3,2,2,3,2,2,,,,,,,5,4,4,7,5,5,,,,,,,,,,4,5,4,,,,,,,8,8,8,,,,,,,,,,5,5,5,,,,5,6,3,,,,,,,5,5,5,,,,,,,,,,5,5,5
17,898,51,Male,Caucasian,,1,2,3,3,1,2,3,3,1,1,4,3,2,2,1,4,3,3,1,3,1,1,1,4,4,1,1,1,4,4,4,4,4,4,2,4,2,4,1,4,1,3,3,1,2,,,,,,,4,3,4,7,4,4,,,,,,,,,,5,5,6,,,,,,,7,7,8,,,,,,,4,6,5,,,,,,,,,,6,5,7,,,,,,,2,1,2,,,,3,8,4,,,
18,543,51,Male,Black/African,,2,3,3,4,3,3,2,4,2,2,3,2,1,1,2,2,3,3,1,3,1,2,2,2,2,2,2,3,4,4,4,4,3,4,2,3,2,3,2,3,2,2,2,2,2,,,,,,,5,4,4,5,5,5,,,,,,,5,5,5,,,,,,,,,,,,,5,5,5,,,,,,,5,5,5,,,,,,,5,5,5,5,5,5,,,,,,,5,5,5,,,,,,
19,539,27,Male,Caucasian,,2,1,2,4,2,1,3,2,2,2,3,2,2,2,2,3,2,3,2,3,2,2,1,3,2,2,1,3,3,4,2,1,2,2,3,2,1,3,3,2,1,2,1,2,1,,,,5,8,5,,,,,,,,,,5,3,3,5,7,7,,,,,,,,,,7,7,7,,,,5,6,6,,,,,,,,,,,,,3,5,6,,,,5,5,5,,,,5,6,5,,,,,,
20,469,53,Male,Caucasian,,3,3,4,2,3,2,2,3,3,2,4,4,2,2,2,4,2,4,4,2,2,2,2,3,3,2,2,2,4,3,2,2,2,2,2,3,2,4,3,4,4,1,4,2,4,7,7,7,,,,,,,,,,,,,2,2,2,,,,,,,1,1,1,,,,8,8,8,,,,5,5,5,,,,,,,,,,,,,5,5,5,,,,,,,1,1,1,,,,3,2,2,,,
21,555,39,Male,Caucasian,,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,4,6,5,,,,,,,,,,,,,5,3,5,,,,,,,6,5,6,,,,,,,5,6,5,5,4,5,,,,,,,6,5,6,,,,,,,,,,4,3,5,,,,5,4,6,,,,,,
22,692,33,Male,Caucasian,,3,3,3,3,3,2,1,3,2,1,2,2,1,3,3,3,1,3,3,1,3,2,1,1,1,3,3,3,4,3,1,2,2,1,3,1,1,2,2,4,1,3,2,1,1,,,,5,6,5,,,,,,,6,6,5,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,5,5,5,,,,,,,,,,5,4,5
23,563,60,Female,Caucasian,,1,1,3,4,1,1,2,2,1,2,3,2,1,2,2,2,4,2,1,3,2,2,2,2,2,1,1,2,3,4,2,2,2,2,3,2,1,3,2,3,2,2,2,2,2,,,,,,,5,4,3,6,5,5,,,,,,,,,,5,5,5,,,,6,5,6,,,,,,,5,5,5,,,,,,,,,,,,,5,4,5,5,5,5,,,,,,,,,,4,6,4,,,
24,543,60,Male,Caucasian,,1,3,3,3,2,2,1,3,2,2,3,2,2,1,1,3,3,2,2,2,2,2,2,3,3,2,2,1,4,3,3,3,3,4,3,2,1,2,3,2,2,1,2,2,1,,,,,,,1,6,2,,,,,,,4,2,3,,,,,,,6,5,3,9,6,6,,,,,,,,,,5,5,5,,,,,,,,,,5,2,2,5,5,5,,,,,,,5,5,5,,,,,,
25,359,38,Female,Caucasian,,1,1,1,4,1,1,4,4,1,4,4,4,1,4,4,3,1,4,3,1,1,1,1,4,4,1,1,1,4,4,4,4,4,4,1,1,3,1,4,4,1,3,1,1,1,5,5,5,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,,5,5,5,,,,,,,,,,,,,5,1,5,,,,,,,5,1,5
26,476,35,Female,Caucasian,,3,2,4,2,3,2,2,3,3,2,3,3,2,1,2,3,2,3,2,2,1,1,1,3,3,2,2,2,4,3,2,2,2,2,3,2,3,2,3,4,2,2,1,2,1,,,,5,6,6,,,,,,,,,,4,2,3,,,,,,,5,1,1,,,,6,6,6,,,,7,5,7,,,,,,,,,,1,5,5,,,,,,,,,,5,1,1,,,,,,,4,2,2
27,276,26,Male,Caucasian,,2,2,4,3,3,1,2,3,2,2,3,3,2,2,2,3,2,3,3,1,2,2,2,3,3,2,2,2,3,4,1,2,1,1,3,1,2,1,3,3,1,3,2,2,2,,,,4,7,6,,,,,,,4,7,6,,,,,,,4,6,2,,,,,,,7,8,8,,,,,,,8,8,7,,,,,,,,,,7,8,8,,,,4,4,4,,,,,,,,,,6,4,3
28,454,39,Male,Caucasian,,2,2,2,3,1,1,2,3,2,2,3,2,1,2,2,4,2,2,4,2,1,1,1,3,4,2,2,3,4,4,3,2,3,3,3,2,2,3,3,4,2,3,2,1,2,,,,6,7,6,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,6,7,7,,,,5,5,5,,,,,,,6,7,5,,,,,,,,,,,,,4,4,4,5,5,5,,,,,,
29,655,24,Male,Black/African,,3,3,3,3,3,3,2,3,3,2,3,3,2,2,3,4,2,3,2,2,2,2,2,3,3,2,2,2,3,3,3,4,3,3,2,2,2,2,3,3,3,2,3,3,3,8,8,8,,,,,,,,,,8,8,8,,,,,,,5,5,4,,,,,,,8,8,8,,,,8,8,8,,,,,,,8,8,8,,,,,,,,,,,,,5,1,1,8,8,8,,,,,,
30,623,36,Female,Caucasian,,1,1,3,3,1,1,3,1,1,2,4,2,1,1,2,4,2,3,3,2,3,1,2,2,2,1,1,2,3,4,1,1,1,1,4,2,1,3,1,3,1,2,2,2,1,5,9,7,,,,,,,5,6,8,,,,,,,5,5,5,,,,,,,,,,,,,6,3,4,,,,,,,5,6,8,5,6,6,,,,,,,,,,,,,5,6,4,,,,,,,5,4,6
31,511,59,Female,Caucasian,,2,1,2,3,1,1,3,3,1,3,2,1,1,3,3,2,3,1,1,4,1,2,2,2,3,2,1,1,3,3,1,1,1,1,4,2,2,3,2,4,1,2,3,2,1,,,,6,7,6,,,,,,,,,,6,7,7,2,3,3,,,,,,,,,,,,,5,5,4,,,,3,6,3,,,,,,,4,6,6,,,,7,8,8,,,,,,,,,,,,,2,4,4
32,708,73,Male,Caucasian,,2,2,2,3,2,2,3,3,2,2,3,2,1,3,3,3,3,2,2,2,3,2,2,3,3,2,2,2,3,4,3,3,3,3,3,2,2,3,3,4,2,2,2,3,2,,,,,,,4,5,5,,,,6,6,6,,,,,,,,,,4,5,5,6,5,5,,,,,,,,,,5,5,5,,,,6,5,5,,,,,,,,,,5,5,5,,,,,,,4,5,4,,,
33,614,43,Female,Caucasian,,1,1,1,3,1,1,3,2,2,3,3,3,2,2,2,3,2,3,2,2,1,1,2,2,2,1,2,2,3,4,2,2,2,2,3,2,3,3,3,4,1,2,2,2,1,,,,,,,4,4,3,8,6,7,,,,,,,6,6,5,,,,,,,6,5,4,,,,,,,,,,,,,4,2,5,5,5,5,,,,,,,,,,6,6,5,,,,,,,2,6,3,,,
34,333,45,Female,Caucasian,,1,1,1,4,1,1,4,1,1,3,2,2,1,3,3,1,3,1,1,4,1,1,1,4,4,1,1,1,3,4,1,1,1,1,4,2,1,3,3,3,1,1,1,1,1,,,,5,7,6,,,,5,3,2,,,,,,,,,,5,5,5,,,,,,,5,6,7,,,,,,,,,,5,4,4,,,,5,5,5,,,,5,4,3,,,,,,,,,,,,,5,2,2
35,1032,54,Female,Caucasian,,2,2,3,3,2,1,2,2,2,2,3,2,1,2,2,3,3,3,2,3,2,1,1,3,3,1,1,2,3,4,2,2,2,2,2,2,2,3,2,2,1,2,1,2,1,,,,4,8,6,,,,,,,7,8,7,,,,5,5,5,,,,,,,,,,5,7,7,,,,,,,5,7,7,,,,,,,5,8,4,,,,,,,5,5,5,,,,,,,,,,8,2,3
36,953,65,Female,Caucasian,,3,2,3,3,3,2,3,4,2,2,3,3,2,2,4,2,4,2,1,4,2,1,2,3,3,2,2,2,3,3,3,3,3,4,2,2,3,2,4,4,4,2,2,2,3,,,,,,,9,9,9,,,,,,,7,7,8,,,,,,,5,5,5,,,,9,9,9,,,,8,8,8,,,,,,,,,,,,,8,8,8,9,9,,,,,,,,6,7,6,,,,,,
37,682,36,Male,Black/African,,1,1,2,3,2,1,2,3,2,1,4,3,2,1,1,4,1,4,3,1,4,2,3,2,3,1,1,2,4,4,2,2,2,2,3,3,1,3,3,3,2,2,2,1,2,5,5,5,,,,,,,,,,,,,2,2,2,5,5,5,,,,,,,,,,,,,3,3,5,5,5,5,,,,,,,5,5,5,,,,,,,,,,,,,3,3,5,6,8,5,,,,,,
38,423,24,Male,Caucasian,,3,3,3,3,2,1,4,1,1,4,3,2,1,2,3,4,2,3,2,3,1,1,1,4,4,2,1,2,3,4,2,2,2,2,3,3,1,3,1,3,2,2,2,2,2,5,5,5,,,,,,,,,,6,8,4,,,,,,,4,5,4,,,,,,,,,,6,2,4,,,,6,6,5,,,,,,,,,,4,4,5,5,5,5,,,,,,,4,6,5,,,,,,
39,762,31,Male,Caucasian,,3,3,3,3,3,2,3,3,2,3,4,3,1,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,3,1,3,2,3,3,2,3,3,3,2,,,,7,8,8,,,,6,5,6,,,,,,,6,6,7,,,,,,,,,,7,7,8,,,,,,,6,7,7,,,,,,,2,7,3,,,,,,,,,,1,1,1,,,,5,5,5,,,
40,879,43,Female,Black/African,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,139,30,Female,Black/African,,3,3,2,3,2,1,2,3,4,2,3,3,1,2,3,3,1,3,2,3,1,3,2,4,2,4,1,2,2,1,4,1,2,4,2,2,1,1,3,3,2,1,3,3,1,,,,7,6,5,,,,,,,,,,6,5,3,6,3,4,,,,,,,,,,8,6,5,,,,3,6,7,,,,,,,,,,,,,6,5,4,,,,,,,8,6,7,,,,4,3,2,,,
42,1065,21,Male,Asian,,2,2,3,2,3,1,3,3,1,2,3,4,2,2,2,2,2,3,2,2,1,1,2,3,3,2,1,2,3,3,3,3,2,3,2,2,2,2,3,3,2,2,2,2,2,,,,,,,6,4,5,,,,,,,6,5,5,,,,,,,5,5,5,8,4,6,,,,,,,,,,4,6,4,,,,,,,,,,7,6,8,,,,7,5,4,,,,,,,,,,7,6,7
43,668,39,Male,Caucasian,,3,4,4,3,4,2,4,3,2,2,3,3,3,2,2,3,3,3,2,3,3,3,2,2,2,3,3,3,3,2,4,4,4,4,4,2,3,3,3,4,3,3,3,2,3,,,,5,5,5,,,,6,5,4,,,,,,,,,,5,5,4,,,,,,,7,6,6,,,,5,5,5,,,,,,,7,6,6,,,,,,,,,,,,,2,3,3,,,,5,7,6,,,
44,1613,32,Male,Caucasian,,1,2,4,1,1,2,3,2,1,3,2,2,1,2,3,1,3,2,1,3,2,3,3,3,3,2,1,3,4,4,2,3,2,2,3,3,1,3,2,4,2,1,2,3,1,,,,3,8,8,,,,9,9,9,,,,,,,,,,2,5,5,,,,,,,9,9,9,,,,5,5,5,,,,,,,9,9,9,,,,,,,,,,,,,4,6,3,,,,3,6,7,,,
45,1218,28,Female,Caucasian,,3,3,3,2,3,2,2,3,2,3,3,3,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,3,4,2,2,2,2,3,2,1,3,2,4,1,2,2,2,1,,,,,,,3,2,2,,,,4,4,3,,,,5,5,5,,,,,,,,,,,,,5,5,3,5,5,4,,,,,,,,,,,,,5,5,4,,,,,,,1,1,1,,,,,,,5,4,4
46,510,46,Female,Asian,,1,1,3,1,3,1,3,3,1,3,3,3,2,1,3,3,3,2,1,3,1,1,1,3,4,1,1,1,3,3,2,1,1,3,3,2,3,3,3,3,1,1,1,3,1,,,,5,6,4,,,,5,3,7,,,,,,,,,,,,,5,4,3,,,,5,4,3,,,,,,,5,4,6,,,,,,,5,4,3,,,,,,,,,,5,3,1,,,,5,6,8,,,
47,682,55,Male,Asian,,2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,3,2,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,,,,7,7,6,,,,,,,,,,5,4,6,,,,5,5,5,,,,,,,,,,3,2,4,,,,5,5,5,,,,,,,3,4,2,,,,5,5,5,,,,,,,,,,3,4,3,,,
48,640,52,Female,Caucasian,,2,2,2,2,2,2,4,2,1,3,3,3,2,2,2,3,4,1,1,3,1,1,1,4,4,1,2,1,3,4,2,2,2,2,2,3,2,3,2,4,1,2,2,2,1,,,,5,5,5,,,,,,,,,,9,9,9,,,,5,5,5,,,,9,9,9,,,,,,,,,,,,,5,5,5,9,9,9,,,,,,,,,,5,5,5,,,,,,,1,5,1,,,
49,2810,46,Male,Caucasian,,3,3,4,1,3,2,2,4,2,1,4,4,3,1,2,4,1,4,3,1,4,4,2,1,1,3,2,2,4,4,4,4,4,4,1,1,3,3,3,4,3,4,3,1,3,,,,6,8,5,,,,,,,,,,4,5,8,6,5,5,,,,,,,,,,,,,3,5,6,,,,,,,5,5,5,7,7,5,,,,,,,,,,,,,2,5,7,,,,,,,5,5,4
50,1886,35,Female,Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,787,29,Male,Hispanic/Latino,,4,2,3,2,4,2,3,3,3,2,2,1,1,3,3,4,3,3,1,3,2,2,2,4,4,2,2,2,3,4,2,3,2,3,2,3,4,2,4,4,2,3,1,3,2,,,,6,8,9,,,,7,6,8,,,,,,,5,5,5,,,,,,,5,5,5,,,,,,,,,,,,,5,5,5,,,,5,6,3,,,,,,,,,,6,6,3,,,,,,,7,5,5
52,316,38,Female,Black/African,,2,2,3,3,2,1,2,3,2,1,4,3,2,1,3,3,2,3,3,1,1,1,1,4,3,2,1,1,3,4,3,3,3,3,2,1,2,3,3,4,3,2,2,2,3,,,,5,7,6,,,,8,4,4,,,,,,,,,,5,5,5,,,,,,,,,,6,3,4,,,,4,6,6,,,,,,,,,,6,4,5,5,6,6,,,,,,,,,,1,8,7,,,
53,164,25,Male,Caucasian,,2,3,3,2,1,3,2,2,2,3,3,2,3,3,2,3,3,3,1,4,2,3,3,3,2,3,4,4,1,2,3,4,4,4,,2,3,2,3,3,4,4,4,4,2,,,,6,4,4,,,,,,,,,,5,8,5,5,7,4,,,,,,,4,8,6,,,,,,,,,,7,9,5,,,,,,,,,,6,4,3,,,,5,7,4,,,,,,,,,,8,7,7
54,311,57,Male,Caucasian,,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,,,,5,6,5,,,,,,,,,,5,4,4,,,,,,,5,5,5,5,4,4,,,,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,,5,4,4,,,,5,5,5,,,,,,
55,482,40,Female,Caucasian,,1,1,2,3,2,1,3,3,1,3,3,3,2,1,3,2,2,3,1,3,1,1,1,4,3,1,1,1,3,4,1,1,1,1,4,2,2,2,3,4,1,1,1,4,1,,,,,,,5,3,4,,,,5,6,4,,,,5,5,5,,,,,,,,,,,,,5,4,3,,,,5,7,5,,,,,,,,,,5,4,5,,,,5,5,5,,,,,,,3,7,4,,,
56,239,25,Male,Black/African,,1,1,4,1,1,1,2,4,1,1,4,1,1,1,1,3,1,3,3,1,2,1,1,1,1,1,1,1,4,3,1,1,1,1,4,1,1,4,1,4,1,3,2,1,1,5,5,5,,,,,,,,,,,,,5,5,5,,,,,,,3,3,1,5,5,5,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,,,,5,5,5,,,,,,,3,3,1
57,1640,32,Female,Black/African,,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,4,4,3,3,4,3,3,2,3,4,2,2,2,2,2,3,3,4,3,3,2,3,3,4,,,,7,8,7,,,,,,,,,,8,7,8,8,7,8,,,,,,,7,8,9,,,,,,,6,7,8,,,,,,,,,,,,,8,9,7,,,,8,7,7,,,,,,,,,,9,8,7
58,1948,32,Male,Black/African,,3,2,4,2,3,2,3,4,2,2,3,2,1,2,3,4,2,3,3,3,2,2,3,2,2,1,1,4,4,4,4,4,4,4,4,2,2,3,4,4,2,2,2,2,2,5,5,5,,,,,,,7,7,8,,,,,,,5,5,5,,,,,,,,,,6,7,7,,,,5,6,5,,,,,,,,,,4,5,4,,,,,,,,,,2,3,3,,,,,,,5,4,4
