ID,age,gender,gender_open,ethnicity,ethnicity_open,Q1_Neutral_1,Q1_Neutral_2,Q1_Neutral_3,Q1_Masculine_1,Q1_Masculine_2,Q1_Masculine_3,Q1_Non-masculine_1,Q1_Non-masculine_2,Q1_Non-masculine_3,Q2_Neutral_1,Q2_Neutral_2,Q2_Neutral_3,Q2_Masculine_1,Q2_Masculine_2,Q2_Masculine_3,Q2_Non-masculine_1,Q2_Non-masculine_2,Q2_Non-masculine_3,Q3_Neutral_1,Q3_Neutral_2,Q3_Neutral_3,Q3_Masculine_1,Q3_Masculine_2,Q3_Masculine_3,Q3_Non-masculine_1,Q3_Non-masculine_2,Q3_Non-masculine_3,Q4_Neutral_1,Q4_Neutral_2,Q4_Neutral_3,Q4; Masculine_1,Q4; Masculine_2,Q4; Masculine_3,Q4_Non-masculine_1,Q4_Non-masculine_2,Q4_Non-masculine_3,Q5_Neutral_1,Q5_Neutral_2,Q5_Neutral_3,Q5_Masculine_1,Q5_Masculine_2,Q5_Masculine_3,Q5_Non-masculine_1,Q5_Non-masculine_2,Q5_Non-masculine_3,Q6_Neutral_1,Q6_Neutral_2,Q6_Neutral_3,Q6_Masculine_1,Q6_Masculine_2,Q6_Masculine_3,Q6_Non-masculine_1,Q6_Non-masculine_2,Q6_Non-masculine_3,Q7_Neutral_1,Q7_Neutral_2,Q7_Neutral_3,Q7_Masculine_1,Q7_Masculine_2,Q7_Masculine_3,Q7_Non-masculine_1,Q7_Non-masculine_2,Q7_Non-masculine_3,Q8_Neutral_1,Q8_Neutral_2,Q8_Neutral_3,Q8_Masculine_1,Q8_Masculine_2,Q8_Masculine_3,Q8_Non-masculine_1,Q8_Non-masculine_2,Q8_Non-masculine_3
11,41,Male,,Caucasian,,5,6,6,,,,,,,3,3,5,,,,,,,,,,4,4,4,,,,,,,8,8,8,,,,,,,,,,6,6,6,5,5,5,,,,,,,,,,5,4,3,,,,5,5,5,,,,,,
12,32,Female,,"Caucasian,Specify other:",Mixed Jewish and white,,,,,,,7,5,4,,,,,,,5,5,5,,,,,,,5,5,5,7,5,6,,,,,,,5,5,5,,,,,,,,,,1,5,5,,,,,,,,,,4,7,5,5,5,5,,,,,,
13,29,Male,,Caucasian,,5,6,5,,,,,,,,,,,,,3,3,3,,,,5,5,5,,,,,,,5,5,6,,,,,,,7,7,5,,,,,,,5,5,5,,,,,,,,,,1,1,1,,,,4,6,4,,,
14,62,Male,,Caucasian,,6,6,5,,,,,,,8,8,8,,,,,,,,,,5,5,5,,,,,,,,,,8,7,4,,,,5,6,6,,,,6,6,6,,,,,,,,,,5,5,5,,,,,,,2,5,4,,,
15,38,Male,,Caucasian,,,,,,,,5,5,5,,,,,,,5,5,5,5,5,5,,,,,,,,,,7,3,3,,,,,,,,,,5,3,5,,,,5,5,5,,,,,,,,,,1,1,1,,,,1,9,5,,,
16,26,Male,,Caucasian,,,,,6,6,6,,,,,,,,,,5,5,5,,,,,,,6,6,6,,,,,,,7,7,7,6,5,4,,,,,,,,,,,,,4,6,6,4,4,4,,,,,,,,,,4,5,4,,,
17,52,Female,,Caucasian,,5,7,5,,,,,,,7,6,5,,,,,,,,,,,,,5,5,4,,,,6,7,8,,,,,,,5,6,6,,,,,,,,,,5,5,5,,,,,,,5,6,2,5,8,4,,,,,,
18,28,Female,,Caucasian,,,,,,,,9,7,8,8,9,8,,,,,,,,,,,,,9,8,7,,,,8,7,9,,,,7,8,9,,,,,,,7,9,8,,,,,,,,,,8,9,8,,,,7,8,9,,,,,,
19,52,Female,,Caucasian,,,,,5,7,5,,,,,,,,,,5,4,5,,,,,,,5,4,4,,,,,,,5,3,5,5,5,5,,,,,,,5,7,6,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,
20,49,Male,,Caucasian,,,,,6,7,5,,,,4,6,4,,,,,,,5,5,5,,,,,,,,,,,,,5,3,4,,,,5,6,6,,,,5,6,5,,,,,,,5,6,5,,,,,,,6,7,5,,,,,,
21,52,Female,,Black/African,,,,,,,,6,5,7,,,,5,8,5,,,,,,,,,,5,5,7,,,,,,,6,4,5,5,5,5,,,,,,,6,6,6,,,,,,,,,,5,5,4,,,,,,,5,8,5,,,
22,35,Female,,Caucasian,,,,,5,8,5,,,,,,,4,6,4,,,,,,,,,,5,5,5,,,,5,7,7,,,,,,,5,6,6,,,,,,,9,5,4,,,,,,,,,,5,3,4,5,5,5,,,,,,
23,40,Male,,Caucasian,,,,,,,,4,1,2,8,4,8,,,,,,,7,7,7,,,,,,,6,3,5,,,,,,,,,,4,7,7,,,,,,,5,9,6,,,,2,7,6,,,,,,,5,2,5,,,,,,
24,36,Male,,Black/African,,,,,5,7,4,,,,9,5,7,,,,,,,,,,,,,5,6,7,,,,7,7,8,,,,,,,,,,3,4,3,,,,5,6,5,,,,,,,3,4,3,,,,,,,,,,7,4,8
25,66,Male,,Caucasian,,5,6,5,,,,,,,,,,5,5,4,,,,5,5,5,,,,,,,,,,5,5,4,,,,5,5,5,,,,,,,6,5,5,,,,,,,,,,5,5,5,,,,,,,3,5,4,,,
26,30,Male,,Caucasian,,,,,7,8,6,,,,8,8,8,,,,,,,5,5,5,,,,,,,7,8,6,,,,,,,5,5,5,,,,,,,,,,5,6,4,,,,,,,,,,4,3,3,,,,5,9,4,,,
27,29,Male,,Caucasian,,,,,,,,6,6,5,7,6,6,,,,,,,,,,,,,7,6,6,,,,4,5,4,,,,7,6,6,,,,,,,4,4,5,,,,,,,,,,,,,4,4,5,,,,4,5,4,,,
28,50,Female,,"Caucasian,Native American",,,,,,,,5,4,6,,,,,,,6,7,5,,,,,,,5,5,5,5,7,6,,,,,,,5,7,6,,,,,,,,,,,,,5,5,5,5,7,7,,,,,,,5,3,5,,,,,,
29,32,Male,,Caucasian,,,,,5,5,5,,,,7,7,6,,,,,,,5,5,5,,,,,,,5,5,5,,,,,,,6,6,6,,,,,,,,,,,,,5,5,5,,,,,,,3,3,2,,,,3,4,3,,,
30,49,Female,,Caucasian,,5,7,5,,,,,,,,,,,,,4,7,7,,,,,,,4,7,4,,,,6,4,8,,,,5,7,5,,,,,,,,,,3,4,3,,,,5,5,5,,,,,,,,,,2,7,2,,,
31,21,Male,,Black/African,,,,,,,,9,9,9,9,9,9,,,,,,,,,,7,4,9,,,,,,,9,7,9,,,,,,,5,2,9,,,,,,,9,5,9,,,,9,5,9,,,,,,,,,,,,,9,8,9
32,56,Male,,Caucasian,,,,,5,8,4,,,,7,7,6,,,,,,,,,,,,,3,6,2,,,,7,7,6,,,,5,5,5,,,,,,,,,,3,5,2,,,,5,5,5,,,,,,,2,8,2,,,,,,
33,35,Male,,Caucasian,,,,,,,,5,3,3,5,5,5,,,,,,,,,,5,5,5,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,4,5,5,,,,5,5,5,,,,,,,,,,,,,5,3,4
34,37,Female,,Black/African,,,,,2,8,7,,,,,,,2,7,7,,,,,,,2,5,5,,,,,,,,,,1,2,3,,,,,,,9,3,3,,,,2,6,4,,,,,,,,,,1,2,2,5,6,5,,,,,,
35,54,Male,,Caucasian,,,,,3,5,5,,,,7,7,7,,,,,,,,,,,,,4,5,4,,,,,,,5,4,5,,,,,,,5,5,5,,,,,,,3,4,4,5,5,5,,,,,,,2,5,5,,,,,,
36,29,Male,,Perfer not to answer,,5,5,5,,,,,,,,,,1,1,1,,,,,,,5,5,5,,,,,,,5,5,6,,,,,,,6,6,7,,,,,,,,,,5,5,5,3,3,2,,,,,,,5,6,5,,,,,,
37,34,Male,,Caucasian,,,,,8,9,7,,,,,,,6,7,5,,,,5,5,5,,,,,,,,,,,,,5,4,3,,,,,,,5,5,6,,,,,,,6,4,4,,,,,,,4,5,4,,,,7,6,3,,,
38,55,Male,,Caucasian,,,,,,,,6,3,4,6,5,6,,,,,,,,,,5,6,4,,,,,,,5,6,6,,,,,,,4,5,5,,,,,,,2,4,3,,,,,,,5,6,5,,,,5,7,5,,,,,,
39,57,Female,,Black/African,,,,,,,,7,6,7,,,,3,3,3,,,,,,,5,5,5,,,,,,,4,4,4,,,,,,,,,,5,5,5,,,,4,5,5,,,,,,,5,5,5,,,,,,,2,2,2,,,
40,65,Female,,Caucasian,,,,,7,8,7,,,,,,,,,,9,8,8,,,,,,,8,9,9,6,7,6,,,,,,,,,,,,,6,6,4,5,6,6,,,,,,,,,,,,,3,6,4,,,,,,,8,2,3
41,32,Female,,Black/African,,5,8,5,,,,,,,,,,1,2,1,,,,,,,5,7,8,,,,8,4,6,,,,,,,,,,7,7,4,,,,5,6,5,,,,,,,,,,9,6,4,,,,1,8,5,,,,,,
42,36,Male,,Caucasian,,,,,,,,5,5,5,,,,,,,3,3,3,,,,,,,4,4,4,,,,5,5,6,,,,,,,,,,5,5,5,5,6,6,,,,,,,,,,5,5,4,,,,,,,5,5,5,,,
43,21,Prefer to self-describe:,non-binary,Caucasian,,5,5,5,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,,,,,,,,5,5,5,,,,,,,4,5,5,,,,,,,5,4,5,,,,,,,5,5,5,,,,5,5,5,,,
44,29,Male,,Hispanic/Latino,,,,,7,8,4,,,,7,7,9,,,,,,,,,,5,5,4,,,,,,,,,,5,2,4,,,,7,5,4,,,,,,,,,,3,4,2,5,5,5,,,,,,,,,,5,8,3,,,
45,47,Male,,Caucasian,,6,6,5,,,,,,,,,,,,,4,2,6,4,6,6,,,,,,,7,5,5,,,,,,,,,,,,,6,4,5,,,,3,4,4,,,,,,,4,3,2,,,,5,4,6,,,,,,
46,33,Male,,Caucasian,,,,,,,,5,7,5,5,8,6,,,,,,,,,,,,,7,6,7,,,,7,5,7,,,,,,,5,8,5,,,,,,,7,,7,,,,7,6,7,,,,,,,,,,,,,7,5,7
47,29,Male,,Caucasian,,,,,5,6,5,,,,,,,6,6,7,,,,,,,5,5,3,,,,,,,,,,5,2,4,,,,5,5,5,,,,,,,,,,5,5,4,,,,,,,3,3,3,,,,5,5,4,,,
48,40,Male,,Hispanic/Latino,,,,,5,6,2,,,,,,,2,6,5,,,,,,,,,,6,5,5,,,,,,,5,3,7,7,5,2,,,,,,,2,5,6,,,,,,,,,,7,5,3,,,,,,,,,,8,5,7
49,30,Male,,Caucasian,,,,,,,,8,9,8,,,,,,,7,7,8,5,6,7,,,,,,,,,,6,7,8,,,,,,,6,5,5,,,,,,,6,6,7,,,,,,,,,,6,5,5,,,,,,,7,7,8
50,58,Male,,Asian,,,,,5,6,5,,,,9,3,7,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,5,5,5,,,,,,,,,,4,5,5,5,5,5,,,,,,,,,,5,5,5,,,
51,51,Female,,Caucasian,,5,8,7,,,,,,,8,2,7,,,,,,,8,4,7,,,,,,,,,,,,,6,2,7,,,,5,8,4,,,,,,,,,,4,1,3,7,2,7,,,,,,,,,,,,,6,1,4
52,39,Female,,Pacific Islander,,,,,8,8,8,,,,9,9,9,,,,,,,7,6,6,,,,,,,,,,,,,3,2,2,,,,8,7,7,,,,6,6,6,,,,,,,4,5,4,,,,,,,,,,,,,6,5,6
53,23,Male,,Caucasian,,,,,9,9,9,,,,,,,4,4,4,,,,,,,,,,3,3,3,,,,,,,5,3,3,5,5,5,,,,,,,,,,,,,5,5,5,,,,5,5,5,,,,,,,5,5,5,,,
54,38,Female,,Caucasian,,,,,,,,7,7,1,9,9,9,,,,,,,,,,1,5,1,,,,7,7,7,,,,,,,,,,5,6,8,,,,,,,4,7,2,,,,,,,,,,1,1,1,,,,,,,5,5,3
